speaker	recording	vowel	label	F0	F1	F2	include
B	02	23	@	138.6162099820676	523.0090755351187	1372.3867826370997	1
B	02	24	Y	183.42245392344932	357.9231274082042	1388.4747530884358	1
B	02	25	a	120.62342745152289	583.699794524153	1348.8526000600752	1
B	02	26	o:	135.77957508872385	491.20546573153734	1124.4980611227359	1
B	02	27	E	111.19923938698449	703.8253832043024	1283.37262277518	1
B	02	28	I	160.02846297716258	393.95985580981613	1469.745967586773	1
B	02	29	O	166.35992102079558	391.8691327246941	1192.2678616629014	1
B	02	30	A:	126.56935954496451	721.5378432730875	1508.458548447761	1
B	02	31	I	134.52693279270426	319.92957540701127	1973.934648868838	1
B	02	32	2:	164.69317554252552	449.235851330137	1234.6609663614458	1
B	02	33	I	213.6220343394793	559.4899244001206	1806.6160628056796	1
B	02	34	o:	162.4869177775283	557.9229389279748	1074.8123484497985	1
B	02	35	i:	155.0282958623218	447.30136192556307	1691.9942735490606	1
B	02	36	@	124.88066283100513	635.4385945551538	1507.1489745122976	1
B	02	37	i:	134.17950880304406	285.85739818294553	1399.1003394875124	1
B	02	38	u:	140.1713387047116	333.146731057016	1398.4265996563843	1
B	02	39	u:	114.88686515986555	599.5833085802037	1566.292281197493	1
B	02	40	e:	113.46109664040232	446.3402936025656	1843.0434667808206	1
B	02	41	a	55.6408520888489	538.2789159767856	1647.8473621600283	1
B	03	0	a	185.85448916668184	776.994189514798	1153.389844715272	1
B	03	1	A:	186.27699263556573	621.6497974235848	980.3774921523477	1
B	03	2	a	179.46262518014825	684.0248381660563	1254.773217585482	1
B	03	3	I	164.93911267767103	353.25701546079404	1514.7751185924628	1
B	03	4	I	165.0148208377984	434.10662218963836	1533.9145618268653	1
B	03	5	a	163.8077633527749	642.8189356498446	1295.0353109940377	1
B	03	6	o:	207.69820981073104	473.1098735264259	1063.8763610899457	1
B	03	7	O	184.9519689078967	449.7073338082568	813.6735894132974	1
B	03	8	A:	165.48074862734342	571.9312201370213	977.3404360454886	1
B	03	9	o:	123.61811830335301	398.70659928824466	895.0270064601091	1
B	03	10	@	125.97803087922662	636.2303072055692	1136.6868743684038	1
B	03	11	o:	131.25486660854227	632.1937634370217	1641.6557280288787	1
B	03	12	e:	203.46337583230977	455.17257781438127	1536.3978066061875	1
B	03	13	o:	195.2987205515748	476.5518606258895	1070.886833832707	1
B	03	14	E:	118.21160434830095	738.6653255954221	1283.9014773744602	1
B	03	15	@	124.68411315236764	487.52395291836393	1259.2769356179172	1
B	03	16	O	157.3814324728388	526.724360014779	1136.801501100162	1
B	03	17	I	176.06938333918106	381.4067575715681	1941.5538071380545	1
B	03	18	e:	151.63379796093992	514.0099082779888	1445.176025393014	1
B	03	19	a	124.46855760853332	734.9995972375003	1171.5676207846122	1
B	03	20	a	138.97649872827395	758.086805640133	1139.185209979716	1
B	03	21	Y	188.93101178198512	340.5952680393679	1852.1893895099981	1
B	03	22	@	183.41123240133098	778.7273049432168	2242.516375272038	0
B	03	23	I	128.74427378783074	656.7384308087978	1841.5348214204942	1
B	03	24	a	123.94410449249686	599.0237085257486	1132.7634568410106	1
