speaker	recording	vowel	label	F1	F2	include
B	06	17	2:	1147.0081056740505	2804.414464604021	1
B	06	18	I	1806.2061126424271	2565.722108748217	1
B	06	19	I	1427.1314873930435	2796.4466941595592	1
B	06	20	E	1507.4109311131301	2702.0017217163318	1
B	06	21	I	1395.6102415728224	2642.0220139533008	0
B	06	22	a	1271.406066766133	2306.6985253115317	1
B	06	23	a	1373.0248272141457	2668.984022848194	1
B	06	24	u:	1033.0223717518816	2479.4225948755657	1
B	06	25	u:	1811.459086925532	2603.2149787570816	1
B	06	26	e:	1621.7547900741345	2419.022368770675	1
B	06	27	a	1252.7529517706198	2498.187778787241	1
B	06	28	e:	1824.733013591122	2396.875098610393	1
B	06	29	O	982.3988567542242	2500.6806481236904	1
B	06	30	i:	1837.039364451522	2332.3381369434014	1
B	06	31	O	878.5368304567259	2573.894445096455	1
B	06	32	a	1474.8574742504034	2400.6290432245273	1
B	06	33	a	1312.6889524330093	2695.7543824359236	1
B	06	34	E:	1412.0306085741788	2792.251958506359	1
B	06	35	@	1202.7827030059702	2793.8368080018486	1
B	06	36	e:	1533.6111265277616	2349.0984270822887	1
B	06	37	o:	909.8166552702886	2295.2060666823613	1
B	06	38	@	1447.6074112068627	2545.5866025043915	1
B	06	39	a	1657.9582827534125	2584.2724733512064	1
B	06	40	i:	2028.0436511079147	2456.76513222165	1
B	06	41	A:	926.8792932179829	2646.452073248995	1
B	06	42	@	1858.070772122429	2373.3104881126137	1
B	06	43	a	1224.5943311824858	2558.694149686854	1
B	06	44	a	1326.2599809108974	2379.396673890123	1
B	06	45	@	1456.6626717070496	2505.5329016569494	1
B	06	46	2	1393.8959007972142	2432.8948471408544	1
B	06	47	I	1703.7973875205319	2098.178029338503	1
B	06	48	a	1100.469217807212	2364.2199122504408	1
B	06	49	o:	1013.704418447186	2597.2637183796464	1
B	06	50	E:	1274.1315458697952	2267.9537097625616	1
B	06	51	@	1238.1727716041446	2737.590584812802	1
B	06	52	a	1135.7480719902949	2679.9350606606968	0
B	06	53	u:	1190.2618723769351	2416.5145315022605	1
B	06	54	u:	964.0284196087284	2544.6155270976105	1
B	06	55	u:	1841.30092412532	2583.2076229172017	0
B	06	56	e:	1676.1195139787721	2627.593460122141	1
B	06	57	a	2073.922679686786	2756.183141183212	1
B	07	0	a	1214.5370976216948	2602.5207218659475	1
B	07	1	I	1889.4496894076951	2472.5826733031295	1
B	07	2	a	1326.5099438394368	2403.972224587828	1
B	07	3	u	1059.0439644473356	2520.376212186621	1
B	07	4	I	1809.276984598705	2464.587628904881	1
B	07	5	I	1470.9898723999156	2582.9143285857713	1
B	07	6	E:	1425.7979540499562	2548.480880779607	1
B	07	7	Y	1968.0880459601797	2530.87946123604	1
B	07	8	E	1865.0362519442397	2474.720013613422	1
B	07	9	i:	2016.4085181606151	2542.1021028890505	1
B	07	10	E:	1338.8360016625898	2424.053533834964	1
B	07	11	e:	2220.7115594174234	2628.9008894865756	1
B	07	12	e:	2076.092029611627	2618.4416398060994	1
B	07	13	I	1364.4154079827317	2358.839007373727	1
B	07	14	2:	1202.1545367278582	2100.1892753598813	1
B	07	15	i:	1720.6966295258303	2564.876245966991	1
B	07	16	E	1486.981335361379	2680.679594577149	1
B	07	17	E:	1328.4409859483424	2300.9256471274716	1
B	07	18	I	1972.1251403839942	2563.1274207887254	1
B	07	19	u	1371.0215498789248	2488.864336261865	1
B	07	20	a	1094.8800201424476	2490.671956729179	1
B	07	21	u:	862.9854108521557	2522.459545055536	1
B	07	22	@	1551.7237780273474	2452.0113209795736	1
B	08	0	e:	1578.880908269482	2419.2270859913433	1
B	08	1	e:	1531.5180584764917	2389.678299191983	1
B	08	2	@	1537.679107342341	2577.896520313277	1
B	08	3	I	1888.7693475030421	2569.7906253829738	1
B	08	4	@	1986.7801525099042	2293.77656517167	0
B	08	5	A:	1282.1155404230108	2622.723462140254	1
B	08	6	E	1831.8689310642344	2519.7988027830893	1
B	08	7	@	1827.3487967338858	2442.2897567108234	1
B	08	8	u:	1236.1948296416986	2379.5414522525575	1
B	08	9	I	2223.804438770319	2590.7820068891815	1
B	09	0	a	1250.63840597918	2480.592090487508	1
B	09	1	i:	1900.7031564541078	2741.8291734130244	1
B	09	2	I	1757.5812244994988	2551.017129457604	1
B	09	3	I	1973.8184590053006	2526.5499149589223	1
B	09	4	I	1777.838274716466	2411.8406653726274	1
B	09	5	a	1262.2617944997032	2419.8258964209663	1
B	09	6	E	1819.0502057759738	2671.9203437272045	1
B	09	7	@	1378.6979451149639	2340.1613152049276	1
B	09	8	o:	895.5473187873841	2389.831818241655	1
B	09	9	a	1018.1562084474474	2548.8614784712086	1
B	09	10	E	1437.130276414007	2186.099392114556	1
B	09	11	U	949.6115882318777	2408.7655702124994	1
B	09	12	u	1050.1511526874879	2409.9488245120833	1
B	09	13	a	1126.4610245430622	2403.882932089804	1
B	09	14	E	1391.812256145329	2302.3694773359575	1
B	09	15	O	1241.9008078137208	2590.7400589691692	1
B	09	16	i:	1882.2305949248614	2532.87618667082	1
B	09	17	@	1560.3320219457812	2450.4264175511316	1
B	09	18	E:	1436.6942729195762	2481.18141620249	1
B	09	19	o:	867.2787010460877	2434.898448018456	1
B	09	20	E:	1640.8793748422825	2590.1781964453526	1
B	09	21	a	1305.1673574216502	2452.339057531699	1
B	09	22	a	999.0587715661242	2498.502773367686	1
B	09	23	a	1336.6474224870183	2498.247458775121	1
B	09	24	e:	1926.6998432079936	2415.268386586681	1
B	10	0	E	1258.3531727551865	2331.0347960140525	1
B	10	1	y:	1543.7486451069856	2593.9315345802956	1
B	10	2	O	869.3149681499057	2298.835857674844	1
B	10	3	E	1548.3478519732964	2567.021013192972	1
B	10	4	A:	1049.0077960624599	2504.065625313838	1
B	10	5	a	1248.0044530566374	2411.5801282432085	1
B	10	6	O	928.8834308799305	2493.9134402234745	1
B	10	7	a	1439.531636140936	2373.953805898981	1
B	10	8	A:	904.5176651673789	2562.2705402530355	1
B	10	9	e:	2050.321207318953	2511.9875612230608	1
B	10	10	O	1196.6927016251384	2181.467197980574	1
B	10	11	2:	901.8803297415707	2576.2678161503104	1
B	10	12	y:	2097.6612715764186	2571.91686808415	1
B	10	13	a	1152.155238432872	2479.9579237418975	1
B	10	14	u:	1342.037896036142	2453.0510343639453	1
B	10	15	a	1121.9786118797638	2467.1461408798064	1
B	10	16	2:	1225.533466778402	2414.754203920948	1
B	10	17	I	1873.9810592619278	2481.576062622748	1
B	10	18	a	1097.7373264180999	2413.593557227151	1
B	10	19	o:	945.7907292117262	2476.775597045495	1
B	10	20	A:	990.8113221177663	2460.8659302581787	1
B	10	21	a	1152.534964894865	2338.2115768126528	1
B	10	22	E	1654.888847583074	2492.0849050602505	1
B	10	23	@	1046.3514339202013	2512.635576558359	1
