speaker	recording	vowel	label	F1	F2	include
B	03	17	I	943.2014894251917	2541.0894443648845	1
B	03	18	e:	778.9926927050318	2560.143935958071	1
B	03	19	a	987.9326820024076	2469.7063871158302	1
B	03	20	a	946.510586684618	--undefined--	1
B	03	21	Y	470.58474902350036	2658.573622126884	1
B	03	22	@	662.389125124001	--undefined--	0
B	03	23	I	1226.6025061224818	2708.378167485811	1
B	03	24	a	985.3558910887834	--undefined--	1
B	03	25	@	1199.416083053273	1499.9892146789755	1
B	03	26	E	1346.028272836677	1684.2270058164604	1
B	03	27	a	1067.4624060229505	1946.2442462688662	1
B	03	28	e:	1359.8865437640413	2236.431838287129	1
B	03	29	a	850.3311478648839	2114.4371674298955	1
B	03	30	O	723.925937752318	2167.8166205521434	1
B	03	31	I	1055.8480966044076	2087.189334699796	1
B	03	32	@	1122.2233174438384	2555.055155515876	1
B	04	0	a	863.8978393240622	2733.4594082593308	1
B	04	1	@	1028.652257496189	2171.354818920179	1
B	04	2	E:	884.1734210253188	2160.577178916041	1
B	04	3	a	914.6461294514226	2024.4133049744705	1
B	04	4	e:	1117.7303921728285	1925.6299775042473	1
B	04	5	a	900.7517568835607	1813.0760761111108	1
B	04	6	I	827.4791692438307	2816.5138614124185	1
B	04	7	E	1142.2128143214575	1818.7063671512692	1
B	04	8	U	408.4038631916036	2260.256456637166	1
B	04	9	A:	747.516219968405	--undefined--	1
B	04	10	a	939.4039504633222	2528.4802163001727	1
B	04	11	a	750.9495179937759	2708.5945375442934	1
B	04	12	o:	616.7130625968415	2496.376079116488	1
B	04	13	e:	1001.882903751359	1622.639636098383	1
B	04	14	E	1383.8801067000645	--undefined--	1
B	04	15	u:	461.8301089134697	2234.5315298155533	1
B	04	16	a	905.6099199332891	2601.9704972432496	1
B	04	17	A:	707.0235417106155	--undefined--	1
B	04	18	O	542.4223298600615	--undefined--	1
B	04	19	E	809.1712559692239	1110.8638956570767	1
B	04	20	E	1007.5075147120664	2603.4861796068412	1
B	04	21	@	718.479187992747	2166.0194650728245	1
B	04	22	u:	368.7768732068623	2115.1300178738034	1
B	04	23	I	2106.1377134342306	2519.863860245833	1
B	05	0	a	811.3637016083892	2353.412254003782	1
B	05	1	2	614.9674976803154	2234.91703739756	1
B	05	2	2	762.260679493755	1922.2824697921692	1
B	05	3	@	1038.3081444628897	1443.880241903084	1
B	05	4	u:	548.6611380014344	2031.839649747257	1
B	05	5	u:	490.7459135424335	2651.5784990292605	1
B	05	6	e:	1464.077852870844	1998.975829895337	1
B	05	7	a	837.5307843768705	1901.9696103726135	1
B	05	8	a	637.1143729279888	2337.6123719644224	1
B	05	9	e:	1396.8187994201053	--undefined--	1
B	05	10	a	808.951553593501	2133.2577467882593	1
B	05	11	@	1080.6644366748894	--undefined--	1
B	05	12	O	778.4039563047464	2693.61394505863	1
B	05	13	a	998.3182350887099	2055.058676009265	1
B	05	14	a	1042.027004918552	--undefined--	1
B	05	15	a	976.0989656412093	1697.5104890873456	1
B	05	16	O	486.5292075514626	2665.4826353208136	1
B	05	17	O	370.5046270456234	2522.5444842742304	1
B	05	18	a	977.4259999024519	2520.6745873493933	1
B	05	19	i:	1904.0426923160878	2278.845805304405	1
B	05	20	E	941.0954961953978	1785.2575563681037	1
B	05	21	@	779.2784080345866	2032.5548223654368	1
B	05	22	a	843.7125610082967	2428.3760549476588	1
B	05	23	u:	412.02363857917464	2392.4556139616875	1
B	05	24	a	754.3496139499727	2165.878105055142	1
B	05	25	A:	714.7420026989531	2514.757878590484	1
B	05	26	O	691.8469469959651	--undefined--	1
B	05	27	a	818.3814225280729	1968.057107614042	1
B	05	28	u:	409.64473502911056	2355.143820524576	1
B	05	29	@	913.7970713792435	1522.0569922838895	1
